StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2024-01-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,100
2024-02-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,13
2024-05-01,Western Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,78
2024-02-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,97
2023-11-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,,42
2023-12-01,Australian Capital Territory,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,7
2020-12-01,Victoria,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,16
2021-11-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,40
2022-08-01,Tasmania,Text message,65 and over,Male,Buying or selling,False billing,,3
2021-10-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,,9
2020-05-01,Victoria,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,10
2023-09-01,Western Australia,Email,65 and over,Male,Buying or selling,False billing,,21
2021-08-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,77
2022-07-01,Australian Capital Territory,Text message,65 and over,Female,Buying or selling,False billing,,3
