StartOfMonth,Address_State,Scam___Contact_Mode,Complainant_Age,Complainant_Gender,Category_Level_2,Category_Level_3,Amount_lost,Number_of_reports
2024-05-01,New South Wales,Mail,65 and over,Male,Attempts to gain your personal information,Phishing,,1
2023-02-01,Western Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,38
2023-10-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,299
2020-05-01,Western Australia,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,8
2020-08-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,,10
2022-03-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,107
2023-10-01,Tasmania,Mobile apps,65 and over,Male,Attempts to gain your personal information,Phishing,,9
2022-01-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,,23
2021-12-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,,12
2023-10-01,South Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,47
2021-03-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,58
2020-06-01,Australian Capital Territory,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,8
2023-11-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,,11
2023-03-01,New South Wales,Phone call,65 and over,Female,Buying or selling,False billing,,12
2022-03-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,40
2024-01-01,Victoria,Social media/Online forums,65 and over,Female,Attempts to gain your personal information,Phishing,,2
2022-12-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,,34
2022-07-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,38
2021-08-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,31
2022-08-01,South Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,48
2022-09-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,89
2022-03-01,South Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,43
2021-08-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,15
2022-03-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,13
2023-04-01,Victoria,Internet,65 and over,Male,Attempts to gain your personal information,Phishing,,3
2024-04-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,,72
2021-04-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,41
2021-12-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,73
2023-12-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,122
2021-01-01,Queensland,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,43
2020-08-01,Queensland,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,17
2024-06-01,Western Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,65
2021-12-01,Victoria,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,20
2020-05-01,Outside of Australia,Email,65 and over,Male,Buying or selling,False billing,,2
2022-06-01,Victoria,Internet,65 and over,Female,Buying or selling,False billing,,1
2021-05-01,New South Wales,Mail,65 and over,Female,Buying or selling,False billing,,1
2021-05-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,24
2022-04-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,48
2021-06-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,108
2020-07-01,New South Wales,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,11
2023-03-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,143
2021-08-01,South Australia,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,46
2023-09-01,Western Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,73
2023-08-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,214
2024-05-01,New South Wales,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,191
2022-06-01,New South Wales,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,23
2021-04-01,Western Australia,Phone call,65 and over,Female,Buying or selling,False billing,,7
2023-08-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,16
2020-08-01,New South Wales,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,25
2023-08-01,Tasmania,Email,65 and over,Male,Buying or selling,False billing,,21
2024-05-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,41
2022-02-01,New South Wales,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,91
2023-05-01,Australian Capital Territory,unspecified,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,,2
2020-11-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,,9
2023-08-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,,28
2024-03-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,110
2022-04-01,Northern Territory,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,1
2023-08-01,Western Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,34
2021-01-01,Queensland,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,12
2022-12-01,South Australia,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,61
2021-03-01,Western Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,10
2023-05-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,66
2023-08-01,Australian Capital Territory,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,13
2023-05-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,,64
2020-12-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,22
2021-12-01,New South Wales,Text message,65 and over,Male,Buying or selling,False billing,,7
2024-04-01,Western Australia,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,51
2023-10-01,Queensland,Text message,65 and over,Female,Buying or selling,False billing,,39
2021-12-01,New South Wales,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,75
2022-09-01,Queensland,Social media/Online forums,65 and over,Female,Investment scams,Investment scams,,1
2023-05-01,Victoria,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,113
2024-06-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,,45
2023-10-01,New South Wales,Mobile apps,65 and over,Male,Buying or selling,False billing,,2
2021-01-01,New South Wales,Phone call,65 and over,Male,Buying or selling,False billing,,27
2020-05-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,12
2020-08-01,Queensland,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,19
2023-08-01,Queensland,Text message,65 and over,Male,Buying or selling,False billing,,31
2020-07-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,20
2020-08-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,51
2024-01-01,South Australia,Text message,65 and over,Male,Buying or selling,False billing,,6
2022-12-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,120
2022-03-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,26
2020-10-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,28
2022-09-01,South Australia,Phone call,65 and over,Female,Buying or selling,False billing,,7
2020-02-01,Victoria,Email,65 and over,Female,Buying or selling,False billing,,5
2022-04-01,Victoria,Email,65 and over,Male,Buying or selling,False billing,,29
2021-12-01,South Australia,Text message,65 and over,Male,Buying or selling,False billing,,2
2022-10-01,Queensland,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,110
2021-03-01,South Australia,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,10
2022-03-01,South Australia,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,21
2023-09-01,Queensland,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,111
2020-11-01,Tasmania,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,6
2023-10-01,New South Wales,Text message,65 and over,Female,Buying or selling,False billing,,37
2021-11-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,28
2023-02-01,Northern Territory,Text message,65 and over,Female,Buying or selling,False billing,,3
2024-05-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,3
2021-06-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,64
2022-04-01,Queensland,Phone call,65 and over,Male,Buying or selling,False billing,,16
2024-04-01,South Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,47
2022-02-01,Queensland,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,39
2022-11-01,Queensland,Mail,65 and over,Male,Buying or selling,False billing,,1
2021-09-01,South Australia,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,53
2021-03-01,Western Australia,Phone call,65 and over,Female,Buying or selling,False billing,,12
2020-12-01,New South Wales,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,64
2023-04-01,New South Wales,Text message,65 and over,X (Indeterminate/Intersex/Unspecified),Attempts to gain your personal information,Phishing,,4
2024-01-01,Western Australia,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,64
2023-03-01,Tasmania,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,9
2023-09-01,Australian Capital Territory,Text message,65 and over,Female,Attempts to gain your personal information,Phishing,,17
2024-04-01,New South Wales,Email,65 and over,Female,Buying or selling,False billing,,84
2020-05-01,New South Wales,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,74
2023-08-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,424
2022-07-01,Victoria,Text message,65 and over,Male,Buying or selling,False billing,,8
2022-12-01,Queensland,Phone call,65 and over,Male,Buying or selling,False billing,,17
2023-09-01,Australian Capital Territory,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,5
2023-07-01,New South Wales,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,182
2023-07-01,Queensland,Email,65 and over,Female,Attempts to gain your personal information,Phishing,,53
2023-12-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,,31
2020-11-01,Queensland,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,31
2022-03-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,65
2023-01-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,146
2024-02-01,Queensland,Email,65 and over,Male,Buying or selling,False billing,,59
2023-12-01,Tasmania,Text message,65 and over,Male,Buying or selling,False billing,,3
2022-05-01,Victoria,Text message,65 and over,Male,Attempts to gain your personal information,Phishing,,73
2024-03-01,Victoria,Phone call,65 and over,Male,Buying or selling,False billing,,13
2023-11-01,Western Australia,Text message,65 and over,Male,Buying or selling,False billing,,12
2020-01-01,Victoria,Email,65 and over,Male,Attempts to gain your personal information,Phishing,,18
2021-07-01,South Australia,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,17
2021-12-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,,21
2020-01-01,Victoria,Phone call,65 and over,Male,Attempts to gain your personal information,Phishing,,18
2020-12-01,Queensland,Email,65 and over,Female,Buying or selling,False billing,,11
2023-02-01,Victoria,Mobile apps,65 and over,Male,Buying or selling,False billing,,2
2022-09-01,New South Wales,Phone call,65 and over,Female,Attempts to gain your personal information,Phishing,,25
2022-07-01,Northern Territory,Phone call,65 and over,Male,Buying or selling,False billing,,2
